source,mode,width,chars,txt_bytes,tokens,png_bytes,mae
apple-watch-closeup,basic,40,532,532,176,18933,0.9857
apple-watch-closeup,basic,60,1219,1219,377,30834,0.9934
apple-watch-closeup,basic,80,2105,2105,627,45577,0.9893
apple-watch-closeup,basic,100,3332,3332,961,62610,0.9952
apple-watch-closeup,complex,40,532,532,299,45212,0.9812
apple-watch-closeup,complex,60,1219,1219,638,86433,0.9876
apple-watch-closeup,complex,80,2105,2105,968,120499,0.9894
apple-watch-closeup,complex,100,3332,3332,1554,174096,0.9941
apple-watch-closeup,braille,40,532,1572,1417,2487,0.9892
apple-watch-closeup,braille,60,1219,3619,3225,4610,1.0043
apple-watch-closeup,braille,80,2105,6265,5542,7746,1.0004
apple-watch-closeup,braille,100,3332,9932,8722,11341,1.0014
apple-watch-closeup,braille-dither,40,532,1572,1437,3979,0.9895
apple-watch-closeup,braille-dither,60,1219,3619,3270,8301,1.0032
apple-watch-closeup,braille-dither,80,2105,6265,5621,14058,1.0022
apple-watch-closeup,braille-dither,100,3332,9932,8916,20831,1.0042
apple-watch-closeup,layout,40,532,1572,1220,3477,0.9572
apple-watch-closeup,layout,60,1219,3619,2601,6686,0.9671
apple-watch-closeup,layout,80,2105,6265,4140,10511,0.9614
apple-watch-closeup,layout,100,3332,9932,6444,15595,0.9582
apple-iphone-closeup,basic,40,1229,1229,448,43334,0.9964
apple-iphone-closeup,basic,60,2805,2805,910,76260,0.9991
apple-iphone-closeup,basic,80,4940,4940,1593,111056,1.0025
apple-iphone-closeup,basic,100,7675,7675,2348,155836,1.0055
apple-iphone-closeup,complex,40,1229,1229,666,110980,0.9908
apple-iphone-closeup,complex,60,2805,2805,1354,206206,0.9992
apple-iphone-closeup,complex,80,4940,4940,2211,295086,0.9972
apple-iphone-closeup,complex,100,7675,7675,3232,397955,1.0005
apple-iphone-closeup,braille,40,1229,3629,3306,5424,0.9987
apple-iphone-closeup,braille,60,2805,8325,7493,10563,1.0058
apple-iphone-closeup,braille,80,4940,14700,13245,18299,1.0106
apple-iphone-closeup,braille,100,7675,22875,20586,27717,1.0164
apple-iphone-closeup,braille-dither,40,1229,3629,3473,9646,1.0016
apple-iphone-closeup,braille-dither,60,2805,8325,7981,20343,1.0093
apple-iphone-closeup,braille-dither,80,4940,14700,14065,34423,1.0159
apple-iphone-closeup,braille-dither,100,7675,22875,21907,51858,1.0222
apple-iphone-closeup,layout,40,1229,3629,2446,7653,0.9527
apple-iphone-closeup,layout,60,2805,8325,4853,14077,0.9479
apple-iphone-closeup,layout,80,4940,14700,7880,22599,0.9442
apple-iphone-closeup,layout,100,7675,22875,11419,32233,0.9359
x-signup-closeup,basic,40,1065,1065,334,30553,0.9988
x-signup-closeup,basic,60,2439,2439,745,54052,1.0127
x-signup-closeup,basic,80,4292,4292,1244,77358,1.0039
x-signup-closeup,basic,100,6766,6766,1935,104478,1.0134
x-signup-closeup,complex,40,1065,1065,431,61262,0.9833
x-signup-closeup,complex,60,2439,2439,927,104349,1.0074
x-signup-closeup,complex,80,4292,4292,1494,146764,1.0024
x-signup-closeup,complex,100,6766,6766,2274,204731,1.0072
x-signup-closeup,braille,40,1065,3145,3091,4844,1.0009
x-signup-closeup,braille,60,2439,7239,6929,9545,1.0112
x-signup-closeup,braille,80,4292,12772,12328,15879,1.0166
x-signup-closeup,braille,100,6766,20166,19448,23211,1.0206
x-signup-closeup,braille-dither,40,1065,3145,3093,5348,1.0033
x-signup-closeup,braille-dither,60,2439,7239,6925,10282,1.0136
x-signup-closeup,braille-dither,80,4292,12772,12305,17254,1.0212
x-signup-closeup,braille-dither,100,6766,20166,19392,24814,1.024
x-signup-closeup,layout,40,1065,3145,1858,4971,0.4226
x-signup-closeup,layout,60,2439,7239,3824,9013,0.4014
x-signup-closeup,layout,80,4292,12772,6023,14733,0.3818
x-signup-closeup,layout,100,6766,20166,9178,21244,0.3652
webpage-basic,basic,40,983,983,278,20978,0.9953
webpage-basic,basic,60,2195,2195,612,34849,0.9981
webpage-basic,basic,80,3887,3887,1093,52006,0.9993
webpage-basic,basic,100,6059,6059,1703,71578,0.996
webpage-basic,complex,40,983,983,352,38132,0.968
webpage-basic,complex,60,2195,2195,730,65893,0.9982
webpage-basic,complex,80,3887,3887,1272,96402,1.0
webpage-basic,complex,100,6059,6059,1885,128851,0.9954
webpage-basic,braille,40,983,2903,2902,4071,0.9965
webpage-basic,braille,60,2195,6515,6513,7608,0.9997
webpage-basic,braille,80,3887,11567,11565,12827,1.0024
webpage-basic,braille,100,6059,18059,18050,18790,1.0039
webpage-basic,braille-dither,40,983,2903,2901,4591,0.9999
webpage-basic,braille-dither,60,2195,6515,6508,8795,1.0037
webpage-basic,braille-dither,80,3887,11567,11562,14655,1.0077
webpage-basic,braille-dither,100,6059,18059,18042,21363,1.0086
webpage-basic,layout,40,983,2903,1546,3991,0.3665
webpage-basic,layout,60,2195,6515,3004,7625,0.3432
webpage-basic,layout,80,3887,11567,5235,12365,0.3352
webpage-basic,layout,100,6059,18059,7701,18306,0.3239
